City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
231,santa ana,33.7456,-117.8678,63.28,79,75,8.01,US,1730176969
232,petropavlovsk-kamchatsky,53.0452,158.6483,36.19,44,75,33.55,RU,1730176970
233,ambodivoara,-14.3397,49.9826,84.36,53,13,4.74,MG,1730176971
234,hawaiian paradise park,19.5933,-154.9731,76.51,95,40,3.44,US,1730176972
235,tura,25.5198,90.2201,82.71,66,22,4.72,IN,1730176974
236,ta`u,-14.2336,-169.5144,80.24,80,21,19.17,AS,1730176975
237,figuig (centre),32.1089,-1.2286,58.41,38,0,7.94,MA,1730176976
238,bialobrzegi,51.6469,20.9504,52.57,97,100,5.19,PL,1730176977
239,puerto ayacucho,5.6639,-67.6236,76.69,93,100,2.95,VE,1730176978
240,whangarei,-35.7317,174.3239,64.24,60,70,9.19,NZ,1730176979
241,mahdia,35.5047,11.0622,71.67,85,82,11.03,TN,1730176981
242,kuanda,56.3161,116.0806,28.08,84,99,1.45,RU,1730176982
243,conception bay south,47.4999,-52.9981,36.91,87,43,6.69,CA,1730176983
244,makinsk,52.6292,70.4169,32.47,88,82,9.69,KZ,1730176984
245,taulaga,-11.0553,-171.0883,82.62,77,18,16.17,AS,1730176985
246,pirapora,-17.345,-44.9419,70.5,92,100,1.83,BR,1730176971
247,huarmey,-10.0681,-78.1522,64.2,87,100,8.88,PE,1730176757
248,tarnogskiy gorodok,60.4997,43.5761,39.13,96,100,6.67,RU,1730176989
249,colchani,-20.3,-66.9333,49.91,19,3,7.72,BO,1730176990
250,loikaw,19.6742,97.2094,82.56,65,0,1.61,MM,1730176991
251,banda aceh,5.5577,95.3222,86.25,65,96,16.96,ID,1730176992
252,wajir,1.7471,40.0573,78.49,69,100,13.56,KE,1730176993
253,port-gentil,-0.7193,8.7815,78.15,86,100,9.04,GA,1730176995
254,cootamundra,-34.65,148.0333,81.66,21,3,11.43,AU,1730176996
255,sona,45.4388,10.8255,51.85,100,3,4.61,IT,1730176997
256,amantea,39.1332,16.0746,57.15,58,14,5.1,IT,1730176998
257,swan hill,-35.3378,143.5544,81.81,18,7,12.24,AU,1730176999
258,tsengel,49.4783,100.8894,38.23,58,100,3.09,MN,1730177000
259,vilyuchinsk,52.9306,158.4028,37.67,80,100,13.89,RU,1730177001
260,santana,-0.0583,-51.1817,80.78,78,0,8.05,BR,1730177004
261,obukhiv,50.11,30.6227,43.41,83,96,6.38,UA,1730177005
262,pariaman,-0.619,100.12,87.85,65,52,7.27,ID,1730177008
263,koungheul,13.9833,-14.8,77.95,34,13,6.78,SN,1730177009
264,nouadhibou,20.931,-17.0347,67.98,77,8,20.71,MR,1730177010
265,kenora,49.8167,-94.4337,49.17,81,20,6.91,CA,1730176826
266,ribeira brava,32.65,-17.0667,67.01,80,8,3.96,PT,1730177012
267,kapuskasing,49.4169,-82.4331,39.29,87,100,16.11,CA,1730176781
268,prineville,44.2999,-120.8345,41.7,78,75,1.01,US,1730177015
269,port elizabeth,-33.918,25.5701,62.31,99,100,17.27,ZA,1730177016
270,coyhaique,-45.5752,-72.0662,46.0,97,89,5.55,CL,1730177017
271,grand falls-windsor,48.9332,-55.6649,28.51,90,35,4.92,CA,1730177018
272,shitanjing,39.2342,106.3439,54.81,38,38,9.46,CN,1730177019
273,agat village,13.3886,144.6585,88.36,85,75,10.36,GU,1730177020
274,floro,61.5996,5.0328,40.96,87,96,11.5,NO,1730177021
275,broome,42.2506,-75.833,44.8,60,72,5.17,US,1730177023
276,angarsk,52.5367,103.8864,42.76,65,87,1.63,RU,1730177024
277,garoowe,8.4054,48.4845,78.64,67,87,6.98,SO,1730177025
278,mount pearl,47.5166,-52.7813,36.32,88,20,9.22,CA,1730176871
279,oliver,49.1831,-119.5524,39.11,87,20,0.0,CA,1730176789
280,vila do maio,15.1333,-23.2167,77.54,68,90,12.97,CV,1730177028
281,khovd,48.0056,91.6419,47.43,23,89,13.18,MN,1730177029
282,arteche,12.2645,125.4048,84.94,70,100,14.38,PH,1730177031
283,porto novo,6.4965,2.6036,80.42,90,92,2.64,BJ,1730177033
284,lorengau,-2.0226,147.2712,83.88,73,94,3.96,PG,1730177034
285,lebyazh'ye,55.2689,66.4947,33.13,85,99,3.49,RU,1730177035
286,nishinoomote,30.7333,131.0,73.96,100,75,6.91,JP,1730177036
287,la cocha,-27.7773,-65.5704,71.28,44,0,5.97,AR,1730177037
288,mahibadhoo,3.7833,72.9667,82.4,76,64,14.14,MV,1730176757
289,ishimbay,53.4545,56.0415,36.16,70,100,1.54,RU,1730177042
290,djamaa,33.5339,5.9931,70.61,68,51,13.35,DZ,1730177043
291,guanica,17.9716,-66.908,80.38,71,94,4.32,PR,1730177044
292,aasiaat,68.7098,-52.8699,-1.53,87,38,6.13,GL,1730177047
293,batticaloa,7.7102,81.6924,86.45,66,100,1.59,LK,1730177048
294,changyon,38.2508,125.0961,59.56,81,99,13.11,KP,1730177049
295,slave lake,55.2834,-114.769,31.98,74,100,11.5,CA,1730177050
296,enewetak,11.3474,162.3373,83.8,74,83,11.23,MH,1730177051
297,mazatlan,23.2167,-106.4167,80.91,88,0,0.0,MX,1730177010
298,alaghsas,17.0187,8.0168,73.96,19,1,10.4,NE,1730177054
299,moyuta,14.0386,-90.0808,62.29,83,100,8.84,GT,1730177055
300,vernon,50.2581,-119.2691,44.76,88,88,3.44,CA,1730177056
301,pokhara,28.2333,83.9833,75.34,65,29,4.68,NP,1730176924
302,anadyr,64.75,177.4833,18.1,86,0,8.95,RU,1730177044
303,kapoeta,4.7717,33.5903,74.03,77,49,5.35,SS,1730177060
304,akrehamn,59.2667,5.1833,48.92,68,33,4.23,NO,1730177061
305,boa vista,2.8197,-60.6733,82.38,54,0,5.75,BR,1730177045
306,stanley,54.868,-1.6985,53.28,97,100,5.75,GB,1730177063
307,kenai,60.5544,-151.2583,31.14,98,100,18.41,US,1730176889
308,pontes e lacerda,-15.2261,-59.3353,72.19,95,86,2.93,BR,1730177066
309,kavaratti,10.5669,72.642,81.73,71,53,5.32,IN,1730177067
310,mo i rana,66.3128,14.1428,34.32,93,40,0.0,NO,1730177068
311,cockburn town,21.4612,-71.1419,82.36,76,100,21.3,TC,1730177069
312,antofagasta,-23.65,-70.4,61.88,91,55,1.16,CL,1730177070
313,vadso,70.0744,29.7487,39.36,70,75,31.07,NO,1730177071
314,saldanha,-33.0117,17.9442,57.25,85,2,14.14,ZA,1730177072
315,energetik,51.7445,58.7934,35.42,72,91,2.1,RU,1730177074
316,lamu,-2.2717,40.902,80.42,72,30,8.59,KE,1730177075
317,rikaze,29.25,88.8833,53.6,24,2,1.01,CN,1730176914
318,gordon,34.5004,-84.8666,57.16,93,19,7.74,US,1730177077
319,ostersund,63.1792,14.6357,34.25,69,40,6.91,SE,1730177078
320,barra de santo antonio,-9.4047,-35.5072,77.9,72,89,12.82,BR,1730177079
321,kapa'a,22.0752,-159.319,76.48,90,100,17.16,US,1730177081
322,haiku-pauwela,20.9219,-156.3051,77.02,81,20,28.99,US,1730177082
323,tralee,52.2704,-9.7026,50.56,96,93,3.18,IE,1730177083
324,mukalla,14.5425,49.1242,80.87,72,0,5.26,YE,1730177084
325,bubaque,11.2833,-15.8333,83.03,68,18,6.64,GW,1730177085
326,hailar,49.2,119.7,43.27,46,83,7.49,CN,1730177086
327,pisco,-13.7,-76.2167,62.65,88,0,3.44,PE,1730177087
328,sur,22.5667,59.5289,86.59,56,0,9.91,OM,1730177089
329,ancud,-41.8697,-73.8203,47.68,92,49,4.47,CL,1730177090
330,mayqayyng,51.4625,75.7986,34.92,70,63,18.9,KZ,1730177091
331,cestos city,5.46,-9.5828,76.86,88,99,3.02,LR,1730177092
332,shimoda,34.6667,138.95,60.98,91,100,18.81,JP,1730177093
333,taoudenni,22.6783,-3.9836,73.38,30,36,9.06,ML,1730177094
334,dunedin,-45.8742,170.5036,52.81,74,80,6.8,NZ,1730177095
335,edgewater,28.9889,-80.9023,74.08,85,46,4.36,US,1730176953
336,manokwari,-0.8667,134.0833,84.83,71,75,11.97,ID,1730177098
337,bimbo,4.2567,18.4158,71.53,100,20,3.44,CF,1730177099
338,guerrero negro,27.9769,-114.0611,65.1,88,0,16.22,MX,1730177100
339,buk,52.3553,16.5196,55.11,94,100,8.63,PL,1730177101
340,cidreira,-30.1811,-50.2056,68.47,87,13,13.22,BR,1730177102
341,akjoujt,19.6969,-14.4164,70.93,36,80,11.07,MR,1730177103
342,codrington,-38.2667,141.9667,61.07,66,72,13.44,AU,1730177105
343,tughyl,47.7252,84.2063,46.51,42,100,7.05,KZ,1730177106
344,fortuna,40.5982,-124.1573,49.12,92,0,6.91,US,1730177107
345,kondagaon,19.6,81.6667,85.08,59,53,1.74,IN,1730177108
346,aljezur,37.3191,-8.8033,56.34,75,38,11.72,PT,1730177109
347,abepura,-2.6333,140.5833,88.61,58,20,9.22,ID,1730177110
348,kingston,17.997,-76.7936,83.35,84,20,6.91,JM,1730177073
349,saurimo,-9.6608,20.3916,68.34,83,100,2.44,AO,1730177113
350,rio grande,-32.035,-52.0986,63.86,91,0,7.76,BR,1730177028
351,nilsia,63.2,28.0833,33.66,83,24,9.64,FI,1730177115
352,puerto baquerizo moreno,-0.9,-89.6,67.78,81,91,10.42,EC,1730177116
353,sen monorom,12.45,107.2,70.81,90,94,5.88,KH,1730177118
354,handewitt,54.7645,9.3153,55.89,99,100,10.36,DE,1730177119
355,chernomorskoye,45.5039,32.6997,58.1,80,1,10.33,UA,1730177120
356,olyokminsk,60.3736,120.4264,21.56,79,100,3.27,RU,1730177121
357,luwingu,-10.2621,29.9271,71.08,72,62,1.07,ZM,1730177122
358,hilo,19.7297,-155.09,76.73,90,40,3.44,US,1730177123
359,saint-francois,46.4154,3.9054,48.67,94,100,1.14,FR,1730177124
360,faya-largeau,17.9257,19.1043,69.12,21,1,19.26,TD,1730177126
361,sarkisla,39.3519,36.4098,42.69,49,0,2.59,TR,1730177127
362,guiuan,11.0333,125.7247,84.31,75,100,27.11,PH,1730177128
363,kabare,-2.4683,28.8242,67.1,83,100,1.01,CD,1730177129
364,czarnkow,52.9021,16.5641,55.18,95,100,6.35,PL,1730177130
365,riohacha,11.5444,-72.9072,80.26,85,100,9.42,CO,1730176898
366,saint john,45.2727,-66.0677,29.43,80,0,9.22,CA,1730177125
367,chinde,26.8212,87.7095,79.75,72,22,5.1,NP,1730177134
368,zouerate,22.7187,-12.4521,63.1,63,38,7.02,MR,1730177135
369,himatnagar,23.6,72.95,88.18,39,4,4.41,IN,1730177136
370,kish,26.5578,54.0194,86.27,39,0,11.5,IR,1730177137
371,balakhta,55.38,91.6,44.69,60,100,14.43,RU,1730177138
372,shuangjiang,26.1547,109.7138,70.65,55,100,4.68,CN,1730177139
373,mugia,43.1041,-9.2179,51.91,85,30,20.67,ES,1730177141
374,mejit,10.2753,170.8646,84.06,76,94,13.35,MH,1730177142
375,portland,45.5234,-122.6762,50.34,94,75,1.01,US,1730176564
376,pierre,44.3683,-100.351,57.27,58,20,4.61,US,1730177075
377,altai,46.3722,96.2583,39.31,55,100,13.49,MN,1730177145
378,kirensk,57.7853,108.1119,34.43,90,90,0.87,RU,1730177146
379,zhanibek,49.4167,46.85,45.05,88,100,3.85,KZ,1730177147
380,spring creek,40.7266,-115.5859,31.71,90,93,5.75,US,1730177149
381,broken hill,-31.95,141.4333,79.02,18,0,10.67,AU,1730177150
382,taybad,34.74,60.7756,48.85,54,0,12.19,IR,1730177151
383,malanje,-9.5402,16.341,63.37,97,74,3.85,AO,1730177152
384,visby,57.6409,18.296,46.81,93,100,2.3,SE,1730177153
385,pangoa,-12.1167,-73.0,68.49,99,93,1.34,PE,1730177154
386,ataq,14.5377,46.8319,73.51,54,2,1.48,YE,1730177155
387,fort bragg,35.139,-79.006,51.8,88,0,0.0,US,1730177157
388,san patricio,28.017,-97.5169,78.75,75,0,14.63,US,1730177158
389,klaeng,12.7797,101.6483,88.86,59,23,2.98,TH,1730177159
390,sitka,57.0531,-135.33,44.49,81,75,8.05,US,1730177160
391,ordubad,38.9059,46.0234,50.0,46,0,1.19,AZ,1730177161
392,kumhari,21.2667,81.5167,82.74,60,9,3.31,IN,1730177162
393,mhamid,29.82,-5.72,57.88,33,0,13.78,MA,1730177163
394,lushoto,-4.7833,38.2833,65.95,55,3,0.96,TZ,1730177165
395,kerimaki,61.9167,29.2833,35.55,87,20,10.36,FI,1730177166
396,remire-montjoly,4.9167,-52.2667,73.44,100,0,0.0,GF,1730177167
397,hexham,54.9699,-2.104,54.41,96,100,8.88,GB,1730177168
398,mount gambier,-37.8333,140.7667,64.35,55,11,9.06,AU,1730177172
399,xam nua,20.4197,104.0439,65.98,84,97,3.04,LA,1730177173
400,karratha,-20.7377,116.8463,95.79,36,6,11.86,AU,1730177174
401,key west,24.5557,-81.7826,80.6,74,0,13.8,US,1730176904
402,paraparaumu,-40.9167,175.0167,57.96,96,100,15.19,NZ,1730177176
403,nadi,-17.8,177.4167,82.4,69,75,11.5,FJ,1730177177
404,ruma,45.0081,19.8222,53.53,74,99,1.05,RS,1730177179
405,el alto,-4.2714,-81.2147,64.06,83,93,15.05,PE,1730177180
406,verkhnevilyuysk,63.4453,120.3167,9.01,87,99,4.05,RU,1730177181
407,severomorsk,69.0689,33.4162,35.89,66,22,24.0,RU,1730177182
408,flying fish cove,-10.4217,105.6791,80.28,83,100,11.5,CX,1730177185
409,dingzhou,38.5131,114.9956,69.08,39,0,0.81,CN,1730177186
410,pulandian,39.3953,121.9669,63.57,44,83,11.45,CN,1730177187
411,goiatuba,-18.0125,-49.3547,68.95,92,100,2.35,BR,1730177188
412,embarcacion,-23.209,-64.096,75.22,60,64,3.09,AR,1730177189
413,eastham,41.8301,-69.9739,44.94,50,0,0.0,US,1730177190
414,betio village,1.358,172.9211,86.04,70,3,6.62,KI,1730177191
415,sipalay,9.75,122.5,82.31,80,100,17.34,PH,1730177193
416,gonda city,27.1333,81.9333,85.86,50,5,5.7,IN,1730177194
417,yelizovo,53.1873,158.3805,37.54,44,75,26.84,RU,1730177195
418,sao jose da coroa grande,-8.8978,-35.1478,77.59,75,64,11.03,BR,1730177196
419,kavieng,-2.5744,150.7967,85.1,71,8,7.43,PG,1730177197
420,saint-philippe,-21.3585,55.7679,77.02,72,4,8.25,RE,1730177198
421,sao vicente,-23.9631,-46.3919,68.99,26,100,2.51,BR,1730177055
422,shingu,33.7333,135.9833,67.51,97,100,12.26,JP,1730177201
423,turka,49.1541,23.0297,44.46,76,74,3.47,UA,1730177202
424,la ronge,55.1001,-105.2842,35.85,80,100,10.36,CA,1730177203
